dataset,model,metric,mean_value,mean_reference_value,mean_improvement_pct,configurations,reference_models
time/current_velocity_h_part15,ts_icl,nmse,0.7753655218208829,0.869183990184129,8.334385494920426,2,chronos2
time/current_velocity_h_part16,chronos2,nmse,0.622288421789805,0.622288421789805,0.0,2,chronos2
time/current_velocity_h_part16,chronos_bolt,nmse,0.694371147120061,0.622288421789805,-12.131598876047947,2,chronos2
time/current_velocity_h_part16,chronos_t5,nmse,0.7662074524702297,0.622288421789805,-23.745925085343337,2,chronos2
time/current_velocity_h_part16,ts_icl,nmse,0.716574142795677,0.622288421789805,-14.978835970995469,2,chronos2
time/current_velocity_h_part17,chronos2,nmse,0.5073849584829683,0.5073849584829683,0.0,2,chronos2
time/current_velocity_h_part17,chronos_bolt,nmse,0.6443537611824771,0.5073849584829683,-24.54899438153251,2,chronos2
time/current_velocity_h_part17,chronos_t5,nmse,0.6414087188119689,0.5073849584829683,-30.741500758646616,2,chronos2
time/current_velocity_h_part17,ts_icl,nmse,0.5205961561684186,0.5073849584829683,-2.7603402317302477,2,chronos2
time/current_velocity_h_part18,chronos2,nmse,1.5026471459306776,1.5026471459306776,0.0,2,chronos2
time/current_velocity_h_part18,chronos_bolt,nmse,2.0240771043424806,1.5026471459306776,-25.647812487911587,2,chronos2
time/current_velocity_h_part18,chronos_t5,nmse,2.0244961618756254,1.5026471459306776,-42.24183664616379,2,chronos2
time/current_velocity_h_part18,ts_icl,nmse,1.47927886073788,1.5026471459306776,-0.15109001474534578,2,chronos2
time/current_velocity_h_part19,chronos2,nmse,1.152257952063034,1.152257952063034,0.0,2,chronos2
time/current_velocity_h_part19,chronos_bolt,nmse,1.2878843260308106,1.152257952063034,-11.330154463085261,2,chronos2
time/current_velocity_h_part19,chronos_t5,nmse,1.2388150086238359,1.152257952063034,-5.544542342202866,2,chronos2
time/current_velocity_h_part19,ts_icl,nmse,0.9563003929021459,1.152257952063034,17.057981185190947,2,chronos2
time/current_velocity_h_part20,chronos2,nmse,1.3634455138930317,1.3634455138930317,0.0,2,chronos2
time/current_velocity_h_part20,chronos_bolt,nmse,1.3724838108840314,1.3634455138930317,-0.4856633075879513,2,chronos2
time/current_velocity_h_part20,chronos_t5,nmse,6.904040846191911,1.3634455138930317,-408.39623636324063,2,chronos2
time/current_velocity_h_part20,ts_icl,nmse,1.290402593610413,1.3634455138930317,5.500270418198291,2,chronos2
time/current_velocity_h_part21,chronos2,nmse,0.955672070166717,0.955672070166717,0.0,2,chronos2
time/current_velocity_h_part21,chronos_bolt,nmse,1.0244212488643825,0.955672070166717,-7.61022828551887,2,chronos2
time/current_velocity_h_part21,chronos_t5,nmse,15.05533441795657,0.955672070166717,-1491.9587473782367,2,chronos2
time/current_velocity_h_part21,ts_icl,nmse,0.9368638395021359,0.955672070166717,2.0519011748278455,2,chronos2
time/ecdc_covid_d_part01,chronos2,nmse,0.8105640234425664,0.8105640234425664,0.0,2,chronos2
time/ecdc_covid_d_part01,chronos_bolt,nmse,0.8701443982621034,0.8105640234425664,-18.384604624602808,2,chronos2
time/ecdc_covid_d_part01,chronos_t5,nmse,1.0365109763418634,0.8105640234425664,-17.40778431649438,2,chronos2
time/ecdc_covid_d_part01,ts_icl,nmse,1.0503518019492426,0.8105640234425664,-29.036441620215413,2,chronos2
time/ecdc_covid_d_part02,chronos2,nmse,0.13419049795872223,0.13419049795872223,0.0,2,chronos2
time/ecdc_covid_d_part02,chronos_bolt,nmse,0.06916481252604474,0.13419049795872223,52.07756866440192,2,chronos2
time/ecdc_covid_d_part02,chronos_t5,nmse,0.11455461623457572,0.13419049795872223,13.667516694032823,2,chronos2
time/ecdc_covid_d_part02,ts_icl,nmse,0.2038485836237669,0.13419049795872223,-47.434991006394746,2,chronos2
time/ecdc_covid_d_part03,chronos2,nmse,9.490405296906829,9.490405296906829,0.0,2,chronos2
time/ecdc_covid_d_part03,chronos_bolt,nmse,9.604955231305212,9.490405296906829,-5.682128533534941,2,chronos2
time/ecdc_covid_d_part03,chronos_t5,nmse,9.346763895979771,9.490405296906829,-6.666594732589874,2,chronos2
time/ecdc_covid_d_part03,ts_icl,nmse,10.35875521848599,9.490405296906829,-21.79031415720781,2,chronos2
time/ecdc_covid_d_part04,chronos2,nmse,0.303542104689465,0.303542104689465,0.0,2,chronos2
time/ecdc_covid_d_part04,chronos_bolt,nmse,0.26118577395876247,0.303542104689465,8.744567652780752,2,chronos2
time/ecdc_covid_d_part04,chronos_t5,nmse,0.3688911607799431,0.303542104689465,-46.88446153877175,2,chronos2
time/ecdc_covid_d_part04,ts_icl,nmse,0.5826001362875104,0.303542104689465,-173.0161605618869,2,chronos2
time/ecdc_covid_d_part05,chronos2,nmse,0.3679840106051415,0.3679840106051415,0.0,2,chronos2
time/ecdc_covid_d_part05,chronos_bolt,nmse,0.504498690366745,0.3679840106051415,-52.78664006401884,2,chronos2
time/ecdc_covid_d_part05,chronos_t5,nmse,0.26226832275278866,0.3679840106051415,-52.28494541208251,2,chronos2
time/ecdc_covid_d_part05,ts_icl,nmse,0.5318388738669455,0.3679840106051415,-120.78426760575725,2,chronos2
time/ecdc_covid_d_part06,chronos2,nmse,5.535632151799898,5.535632151799898,0.0,2,chronos2
time/ecdc_covid_d_part06,chronos_bolt,nmse,6.304831921122968,5.535632151799898,-14.530395958000087,2,chronos2
time/ecdc_covid_d_part06,chronos_t5,nmse,5.701859522610903,5.535632151799898,-3.220628275741683,2,chronos2
time/ecdc_covid_d_part06,ts_icl,nmse,7.257791617885232,5.535632151799898,-32.16390420943481,2,chronos2
time/ecdc_covid_d_part07,chronos2,nmse,2.957053246597449,2.957053246597449,0.0,2,chronos2
time/ecdc_covid_d_part07,chronos_bolt,nmse,2.600168151780963,2.957053246597449,1.9147820529662853,2,chronos2
time/ecdc_covid_d_part07,chronos_t5,nmse,2.764798770348231,2.957053246597449,-18.660287211650427,2,chronos2
time/ecdc_covid_d_part07,ts_icl,nmse,3.6146242568890252,2.957053246597449,-32.8209428951235,2,chronos2
time/ne_china_wind_h,chronos2,nmse,1.242294874480542,1.242294874480542,0.0,2,chronos2
time/ne_china_wind_h,chronos_bolt,nmse,1.3184752180857364,1.242294874480542,-6.334442256955522,2,chronos2
time/ne_china_wind_h,chronos_t5,nmse,1.2510167077313836,1.242294874480542,-0.5732628921063985,2,chronos2
time/ne_china_wind_h,ts_icl,nmse,1.2905798144775498,1.242294874480542,-3.9919971360154474,2,chronos2
time/online_retail_2_uci_d,chronos2,nmse,0.9206974245607853,0.9206974245607853,0.0,2,chronos2
time/online_retail_2_uci_d,chronos_bolt,nmse,0.8115200959146023,0.9206974245607853,-1.1101278783738042,2,chronos2
time/online_retail_2_uci_d,chronos_t5,nmse,1.1066247150301933,0.9206974245607853,-3.0791261766894937,2,chronos2
time/online_retail_2_uci_d,ts_icl,nmse,1.588802782818675,0.9206974245607853,-53.75713835094281,2,chronos2
time/port_activity_d,chronos2,nmse,1.592208410621855,1.592208410621855,0.0,2,chronos2
time/port_activity_d,chronos_bolt,nmse,1.593944261124867,1.592208410621855,-0.15064228297293775,2,chronos2
time/port_activity_d,chronos_t5,nmse,2.108246994732206,1.592208410621855,-34.13575942193418,2,chronos2
time/port_activity_d,ts_icl,nmse,1.5755790595920591,1.592208410621855,1.1353656775333887,2,chronos2
time/supply_chain_customer_d,chronos2,nmse,0.6069603405129682,0.6069603405129682,0.0,2,chronos2
time/supply_chain_customer_d,chronos_bolt,nmse,0.8016432393665632,0.6069603405129682,-31.581063097386327,2,chronos2
time/supply_chain_customer_d,chronos_t5,nmse,0.9249400594231297,0.6069603405129682,-51.11473528693372,2,chronos2
time/supply_chain_customer_d,ts_icl,nmse,0.8698859070516644,0.6069603405129682,-38.360277840682365,2,chronos2
time/supply_chain_location_d,chronos2,nmse,0.7319650664131212,0.7319650664131212,0.0,2,chronos2
