dataset,lags,horizon,setting,metric,best_baseline,best_baseline_value,chronos_value,chronos_win_pct,tie_pct,windows
time/current_velocity_h_part20,336,48,336:48,nmse,expected,1.6775025313325,1.419001656499776,68.18181818181817,0.0,66
time/current_velocity_h_part20,336,48,336:48,nmae,expected,0.9466762461445548,0.7948118256348552,71.21212121212122,0.0,66
time/current_velocity_h_part20,336,48,336:48,mase,repeat,2.706299847725666,2.2270970425822516,87.87878787878788,0.0,66
time/current_velocity_h_part20,504,168,504:168,mse,expected,16.099918402661114,9.924920820736649,70.0,0.0,60
time/current_velocity_h_part20,504,168,504:168,mae,expected,1.4481422930839472,1.1189070447270448,66.66666666666666,0.0,60
time/current_velocity_h_part20,504,168,504:168,nmse,expected,1.3988392283519109,1.3078887552022933,70.0,0.0,60
time/current_velocity_h_part20,504,168,504:168,nmae,expected,0.9479509308934212,0.8799925689895948,66.66666666666666,0.0,60
time/current_velocity_h_part20,504,168,504:168,mase,expected,3.2751336137453717,3.159080465634664,66.66666666666666,0.0,60
time/current_velocity_h_part21,168,24,168:24,mse,lookback,0.5474733501621813,0.44394283974561405,90.0,0.0,30
time/current_velocity_h_part21,168,24,168:24,mae,repeat,0.28535609633351366,0.2410180801137661,83.33333333333334,0.0,30
time/current_velocity_h_part21,168,24,168:24,nmse,expected,1.330844519038995,0.8769857831609745,73.33333333333333,0.0,30
time/current_velocity_h_part21,168,24,168:24,nmae,repeat,0.8524419888854027,0.6564554033180078,83.33333333333334,0.0,30
time/current_velocity_h_part21,168,24,168:24,mase,repeat,2.6006984492142995,1.948315069079399,83.33333333333334,0.0,30
time/current_velocity_h_part21,336,48,336:48,mse,expected,0.5951534439741711,0.43878524620892373,70.0,0.0,30
time/current_velocity_h_part21,336,48,336:48,mae,expected,0.3222086703637615,0.25623660647155094,66.66666666666666,0.0,30
time/current_velocity_h_part21,336,48,336:48,nmse,expected,1.2086830511689186,0.8040903112540643,70.0,0.0,30
time/current_velocity_h_part21,336,48,336:48,nmae,expected,0.832930480937163,0.6257572601238887,66.66666666666666,0.0,30
time/current_velocity_h_part21,336,48,336:48,mase,expected,2.8407946010430654,1.966803389787674,66.66666666666666,0.0,30
time/current_velocity_h_part21,504,168,504:168,mse,expected,0.7295199595439499,0.7065972426263064,66.66666666666666,0.0,24
time/current_velocity_h_part21,504,168,504:168,mae,expected,0.33522235205358203,0.2955221546969066,66.66666666666666,0.0,24
time/current_velocity_h_part21,504,168,504:168,nmse,expected,1.2515738358100255,1.1072546588256955,66.66666666666666,0.0,24
time/current_velocity_h_part21,504,168,504:168,nmae,expected,0.8380108525355657,0.7426377932230631,66.66666666666666,0.0,24
time/current_velocity_h_part21,504,168,504:168,mase,expected,2.971862480044365,2.663275713721911,66.66666666666666,0.0,24
time/ecdc_covid_d_part01,7,1,7:1,mse,persistence,271.0,216.74589411417642,33.33333333333333,0.0,3
time/ecdc_covid_d_part01,7,1,7:1,mae,persistence,11.666666666666666,13.562327067057291,33.33333333333333,0.0,3
time/ecdc_covid_d_part01,7,1,7:1,nmse,persistence,0.13412801490630955,0.12271993265797694,33.33333333333333,0.0,3
time/ecdc_covid_d_part01,7,1,7:1,nmae,persistence,0.264574467514952,0.3153052677710851,33.33333333333333,0.0,3
time/ecdc_covid_d_part01,7,1,7:1,mase,persistence,0.32484009861946106,0.5210416913032532,33.33333333333333,0.0,3
time/ecdc_covid_d_part01,14,2,14:2,mse,persistence,343.0,914.2745157877604,33.33333333333333,0.0,3
time/ecdc_covid_d_part01,14,2,14:2,mae,persistence,15.333333333333334,26.712371826171875,33.33333333333333,0.0,3
time/ecdc_covid_d_part01,14,2,14:2,nmse,persistence,0.1716291382908821,0.33591175079345703,33.33333333333333,0.0,3
time/ecdc_covid_d_part01,14,2,14:2,nmae,persistence,0.3304527501265208,0.5259570082028707,33.33333333333333,0.0,3
time/ecdc_covid_d_part01,14,2,14:2,mase,persistence,0.7623912890752157,1.374681790669759,33.33333333333333,0.0,3
time/ecdc_covid_d_part01,30,7,30:7,mse,persistence,26210.14337158203,22972.915985107422,66.66666666666666,0.0,3
time/ecdc_covid_d_part01,30,7,30:7,mae,persistence,105.47619374593098,93.5656509399414,66.66666666666666,0.0,3
time/ecdc_covid_d_part01,30,7,30:7,nmse,persistence,1.4522602325305343,1.285217260941863,66.66666666666666,0.0,3
time/ecdc_covid_d_part01,30,7,30:7,nmae,persistence,0.7694146633148193,0.6932305494944254,66.66666666666666,0.0,3
time/ecdc_covid_d_part01,30,7,30:7,mase,persistence,4.493201772371928,4.130220174789429,66.66666666666666,0.0,3
time/ecdc_covid_d_part02,7,1,7:1,mse,persistence,30674.0,8657.792358398438,66.66666666666666,0.0,3
time/ecdc_covid_d_part02,7,1,7:1,mae,persistence,144.0,85.20261637369792,66.66666666666666,0.0,3
time/ecdc_covid_d_part02,7,1,7:1,nmse,persistence,1.5548608700434368,1.2036418815453847,66.66666666666666,0.0,3
