dataset,lags,horizon,covariate_mode,instance_normalize,remove_constant,stride,seed,setting,range,model,metric,value,reference_model,reference_value,improvement_pct
time/coastal_t_s_h_part09,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,2.0214491351084276,expected,1.4929225706692897,-35.40214173345876
time/coastal_t_s_h_part09,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,1.388463498155276,expected,1.4435681064923604,3.8172503319555813
time/coastal_t_s_h_part09,504,168,none,True,False,512,1,504:168,long,expected,nmse,1.4435681064923604,expected,1.4435681064923604,0.0
time/coastal_t_s_h_part09,504,168,none,True,False,512,1,504:168,long,lookback,nmse,2.4941682785749437,expected,1.4435681064923604,-72.77801216011717
time/coastal_t_s_h_part09,504,168,none,True,False,512,1,504:168,long,persistence,nmse,1.754199989636739,expected,1.4435681064923604,-21.518339297420777
time/coastal_t_s_h_part09,504,168,none,True,False,512,1,504:168,long,repeat,nmse,2.4941682785749437,expected,1.4435681064923604,-72.77801216011717
time/coastal_t_s_h_part10,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,1.1853733953144965,persistence,1.0285567689799902,-15.246278189391516
time/coastal_t_s_h_part10,168,24,none,True,False,512,1,168:24,short,expected,nmse,1.9614498533985831,persistence,1.0285567689799902,-90.69923144288225
time/coastal_t_s_h_part10,168,24,none,True,False,512,1,168:24,short,lookback,nmse,3.316209814765237,persistence,1.0285567689799902,-222.41388271197613
time/coastal_t_s_h_part10,168,24,none,True,False,512,1,168:24,short,persistence,nmse,1.0285567689799902,persistence,1.0285567689799902,0.0
time/coastal_t_s_h_part10,168,24,none,True,False,512,1,168:24,short,repeat,nmse,1.9875235306945713,persistence,1.0285567689799902,-93.23420842055992
time/coastal_t_s_h_part10,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,0.8147859463863301,persistence,1.0230570570989088,20.357721914667675
time/coastal_t_s_h_part10,336,48,none,True,False,512,1,336:48,mid,expected,nmse,1.5848402588656454,persistence,1.0230570570989088,-54.912206300574255
time/coastal_t_s_h_part10,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,2.678156906456658,persistence,1.0230570570989088,-161.7798184249009
time/coastal_t_s_h_part10,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,1.0230570570989088,persistence,1.0230570570989088,0.0
time/coastal_t_s_h_part10,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,1.7110379166675336,persistence,1.0230570570989088,-67.24755523602346
time/coastal_t_s_h_part10,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,13.803662445147832,persistence,14.222918872535228,2.94775236464991
time/coastal_t_s_h_part10,504,168,none,True,False,512,1,504:168,long,expected,nmse,14.500632350643476,persistence,14.222918872535228,-1.9525772494176235
time/coastal_t_s_h_part10,504,168,none,True,False,512,1,504:168,long,lookback,nmse,14.587204885979494,persistence,14.222918872535228,-2.561260573226712
time/coastal_t_s_h_part10,504,168,none,True,False,512,1,504:168,long,persistence,nmse,14.222918872535228,persistence,14.222918872535228,0.0
time/coastal_t_s_h_part10,504,168,none,True,False,512,1,504:168,long,repeat,nmse,14.587204885979494,persistence,14.222918872535228,-2.561260573226712
